Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
"ไม้บัว 2""x0.5""x1.50 ม.",0200500021500,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้บัว 2""x0.5""x2.00 ม.",0200500022000,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้บัว 2""x0.5""x2.50 ม.",0200500022500,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้บัว 2""x0.5""x3.00 ม.",0200500023000,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้บัว 2""x0.5""x3.50 ม.",0200500023500,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้บัว 2""x0.5""x4.00 ม.",0200500024000,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้บัว 2""x0.5""x4.50 ม.",0200500024500,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้บัว 2""x0.5""x5.00 ม.",0200500025000,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้บัว 2""x0.5""x5.50 ม.",0200500025500,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้บัว 2""x0.5""x6.00 ม.",0200500026000,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
