Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
"เหล็กกล่อง 2""x2"" ส้ม",0100050090002,code128,ไม่ระบุ,01,004,004,  ,312,377,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 2""x2"" ขาว",0100050090003,code128,ไม่ระบุ,01,004,004,  ,347,503,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 2""x2"" เขียว",0100050090004,code128,ไม่ระบุ,01,004,004,  ,411,482,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 3""x3"" เหลือง",0100050110001,code128,ไม่ระบุ,01,004,004,  ,503,592,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 3""x3"" ส้ม",0100050110002,code128,ไม่ระบุ,01,004,004,  ,566,666,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 3""x3"" ขาว",0100050110003,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 3""x3"" เขียว",0100050110004,code128,ไม่ระบุ,01,004,004,  ,733,845,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 4""x4"" เหลือง",0100050120001,code128,ไม่ระบุ,01,004,004,  ,699,824,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 4""x4"" ส้ม",0100050120002,code128,ไม่ระบุ,01,004,004,  ,792,940,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 4""x4"" ขาว",0100050120003,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 4""x4"" เขียว",0100050120004,code128,ไม่ระบุ,01,004,004,  ,991,1177,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 5""x5"" ส้ม",0100050130002,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 5""x5"" เขียว",0100050130004,code128,ไม่ระบุ,01,004,004,  ,1294,1552,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
